tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
349,5/1/2020 0:09,5/1/2020 0:15,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,42581,Customer,1969,0
138,5/1/2020 1:11,5/1/2020 1:13,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3639,Harborside,40.7192517,-74.034234,42105,Subscriber,1949,1
229,5/1/2020 5:31,5/1/2020 5:35,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958612,-74.04311746,42320,Customer,1984,1
261,5/1/2020 5:51,5/1/2020 5:56,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,42170,Subscriber,1974,2
168,5/1/2020 6:06,5/1/2020 6:09,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42352,Subscriber,1966,1
500,5/1/2020 6:17,5/1/2020 6:26,3209,Brunswick St,40.7241765,-74.0506564,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42208,Subscriber,1982,1
237,5/1/2020 6:33,5/1/2020 6:37,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42507,Subscriber,1981,1
144,5/1/2020 6:36,5/1/2020 6:39,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42132,Subscriber,1970,1
2295,5/1/2020 6:38,5/1/2020 7:16,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42400,Subscriber,1959,1
88,5/1/2020 6:41,5/1/2020 6:42,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,42114,Subscriber,1993,1
327,5/1/2020 6:42,5/1/2020 6:47,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42121,Subscriber,1982,1
388,5/1/2020 6:44,5/1/2020 6:51,3203,Hamilton Park,40.72759597,-74.04424731,3185,City Hall,40.7177325,-74.043845,42422,Subscriber,1988,2
280,5/1/2020 7:01,5/1/2020 7:05,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42536,Subscriber,1962,2
370,5/1/2020 7:10,5/1/2020 7:17,3203,Hamilton Park,40.72759597,-74.04424731,3185,City Hall,40.7177325,-74.043845,42165,Subscriber,1970,2
2351,5/1/2020 7:16,5/1/2020 7:56,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42400,Subscriber,1959,1
1135,5/1/2020 7:19,5/1/2020 7:38,3275,Columbus Drive,40.7183552,-74.03891444,3191,Union St,40.7182113,-74.0836394,42295,Customer,1999,1
403,5/1/2020 7:28,5/1/2020 7:35,3278,Monmouth and 6th,40.72568548,-74.04879034,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42441,Subscriber,1979,1
1139,5/1/2020 7:37,5/1/2020 7:56,3267,Morris Canal,40.71241882,-74.03852552,3639,Harborside,40.7192517,-74.034234,42536,Subscriber,1962,2
346,5/1/2020 7:46,5/1/2020 7:51,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42535,Subscriber,1991,2
593,5/1/2020 7:55,5/1/2020 8:05,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.7112423,-74.0557013,42458,Subscriber,1985,1
351,5/1/2020 7:57,5/1/2020 8:02,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,38937,Subscriber,1990,1
632,5/1/2020 8:33,5/1/2020 8:43,3206,Hilltop,40.7311689,-74.0575736,3213,Van Vorst Park,40.71848892,-74.04772663,42467,Subscriber,1977,2
177,5/1/2020 8:40,5/1/2020 8:43,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,42407,Subscriber,1981,1
470,5/1/2020 8:46,5/1/2020 8:53,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,42583,Subscriber,1981,1
333,5/1/2020 8:57,5/1/2020 9:02,3212,Christ Hospital,40.73478582,-74.05044364,3195,Sip Ave,40.7308971,-74.06391263,42182,Customer,1969,0
132,5/1/2020 9:48,5/1/2020 9:50,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,42346,Subscriber,1957,1
1327,5/1/2020 9:56,5/1/2020 10:18,3694,Jackson Square,40.71113,-74.0789,3272,Jersey & 3rd,40.72333159,-74.04595256,42634,Subscriber,1960,1
1102,5/1/2020 9:59,5/1/2020 10:17,3220,5 Corners Library,40.73496102,-74.05950308,3211,Newark Ave,40.72152515,-74.04630454,42149,Customer,1998,1
243,5/1/2020 10:21,5/1/2020 10:25,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,42445,Subscriber,1982,2
1322,5/1/2020 10:26,5/1/2020 10:48,3206,Hilltop,40.7311689,-74.0575736,3639,Harborside,40.7192517,-74.034234,42615,Subscriber,1984,1
318,5/1/2020 10:38,5/1/2020 10:43,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,42532,Subscriber,1988,1
329,5/1/2020 10:50,5/1/2020 10:56,3639,Harborside,40.7192517,-74.034234,3202,Newport PATH,40.7272235,-74.0337589,42451,Subscriber,1949,1
987,5/1/2020 11:04,5/1/2020 11:20,3270,Jersey & 6th St,40.72528911,-74.04557168,3198,Heights Elevator,40.74871595,-74.0404433,42377,Subscriber,1976,1
306,5/1/2020 11:09,5/1/2020 11:14,3638,Washington St,40.7242941,-74.0354826,3186,Grove St PATH,40.71958612,-74.04311746,42300,Customer,1969,0
403,5/1/2020 11:14,5/1/2020 11:21,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42316,Subscriber,1999,1
736,5/1/2020 11:39,5/1/2020 11:51,3639,Harborside,40.7192517,-74.034234,3639,Harborside,40.7192517,-74.034234,42164,Subscriber,1984,1
758,5/1/2020 11:41,5/1/2020 11:54,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42144,Customer,1969,0
1197,5/1/2020 11:49,5/1/2020 12:09,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,42198,Subscriber,1968,1
264,5/1/2020 11:57,5/1/2020 12:01,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,41356,Subscriber,1986,1
780,5/1/2020 11:57,5/1/2020 12:10,3677,Glenwood Ave,40.72755147,-74.07106072,3203,Hamilton Park,40.72759597,-74.04424731,42168,Subscriber,1959,1
1235,5/1/2020 11:58,5/1/2020 12:18,3268,Lafayette Park,40.71346383,-74.06285852,3205,JC Medical Center,40.71653978,-74.04963791,42462,Subscriber,1992,1
2437,5/1/2020 12:01,5/1/2020 12:42,3276,Marin Light Rail,40.71458404,-74.04281706,3185,City Hall,40.7177325,-74.043845,42489,Subscriber,1987,1
1084,5/1/2020 12:05,5/1/2020 12:23,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,42475,Subscriber,1977,1
133,5/1/2020 12:08,5/1/2020 12:10,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42499,Subscriber,1997,2
564,5/1/2020 12:10,5/1/2020 12:20,3203,Hamilton Park,40.72759597,-74.04424731,3206,Hilltop,40.7311689,-74.0575736,42374,Subscriber,1997,2
