tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1437,4/1/2020 1:06,4/1/2020 1:30,3678,Fairmount Ave,40.72572614,-74.07195926,3678,Fairmount Ave,40.72572614,-74.07195926,42314,Customer,2002,2
264,4/1/2020 5:02,4/1/2020 5:07,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,42146,Subscriber,1963,2
254,4/1/2020 6:20,4/1/2020 6:24,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42255,Subscriber,1981,1
429,4/1/2020 6:33,4/1/2020 6:40,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42529,Subscriber,1964,1
805,4/1/2020 6:38,4/1/2020 6:51,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42362,Subscriber,1965,1
317,4/1/2020 6:43,4/1/2020 6:49,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,42636,Subscriber,1956,1
238,4/1/2020 6:43,4/1/2020 6:47,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42336,Subscriber,1967,1
360,4/1/2020 6:51,4/1/2020 6:57,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42531,Subscriber,1982,1
79,4/1/2020 7:00,4/1/2020 7:01,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,27808,Subscriber,1993,1
523,4/1/2020 7:00,4/1/2020 7:09,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,42499,Subscriber,1973,1
2118,4/1/2020 7:03,4/1/2020 7:38,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42107,Subscriber,1959,1
283,4/1/2020 7:08,4/1/2020 7:13,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,40910,Subscriber,1970,2
250,4/1/2020 7:17,4/1/2020 7:21,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42398,Subscriber,1964,1
415,4/1/2020 7:20,4/1/2020 7:27,3278,Monmouth and 6th,40.72568548,-74.04879034,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42276,Subscriber,1979,1
781,4/1/2020 7:30,4/1/2020 7:43,3195,Sip Ave,40.7308971,-74.06391263,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42255,Subscriber,1988,1
306,4/1/2020 7:38,4/1/2020 7:43,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42529,Subscriber,1991,2
613,4/1/2020 7:58,4/1/2020 8:08,3210,Pershing Field,40.74267714,-74.05178863,3279,Dixon Mills,40.72163014,-74.04996783,42600,Customer,1981,1
388,4/1/2020 8:30,4/1/2020 8:37,3639,Harborside,40.7192517,-74.034234,3279,Dixon Mills,40.72163014,-74.04996783,42583,Subscriber,1969,1
228,4/1/2020 8:34,4/1/2020 8:37,3185,City Hall,40.7177325,-74.043845,3483,Montgomery St,40.71942,-74.05099,42377,Customer,1969,0
1207,4/1/2020 8:39,4/1/2020 8:59,3677,Glenwood Ave,40.72755147,-74.07106072,3199,Newport Pkwy,40.7287448,-74.0321082,42497,Subscriber,1959,1
644,4/1/2020 8:39,4/1/2020 8:50,3206,Hilltop,40.7311689,-74.0575736,3205,JC Medical Center,40.71653978,-74.04963791,42223,Subscriber,1977,2
755,4/1/2020 8:47,4/1/2020 9:00,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42411,Subscriber,1969,1
1558,4/1/2020 8:54,4/1/2020 9:20,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,42538,Subscriber,1987,1
472,4/1/2020 9:03,4/1/2020 9:11,3203,Hamilton Park,40.72759597,-74.04424731,3184,Paulus Hook,40.7141454,-74.0335519,42221,Subscriber,1983,1
691,4/1/2020 9:04,4/1/2020 9:16,3212,Christ Hospital,40.73478582,-74.05044364,3185,City Hall,40.7177325,-74.043845,42237,Subscriber,1984,1
582,4/1/2020 9:11,4/1/2020 9:20,3694,Jackson Square,40.71113,-74.0789,3191,Union St,40.7182113,-74.0836394,42145,Subscriber,1994,1
515,4/1/2020 9:12,4/1/2020 9:20,3276,Marin Light Rail,40.71458404,-74.04281706,3203,Hamilton Park,40.72759597,-74.04424731,42520,Customer,1990,1
174,4/1/2020 9:25,4/1/2020 9:28,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,42590,Subscriber,1988,1
299,4/1/2020 9:28,4/1/2020 9:33,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42495,Subscriber,1962,2
153,4/1/2020 9:29,4/1/2020 9:32,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,42115,Subscriber,1981,1
631,4/1/2020 9:39,4/1/2020 9:49,3213,Van Vorst Park,40.71848892,-74.04772663,3187,Warren St,40.7211236,-74.03805095,42373,Subscriber,1968,1
2281,4/1/2020 9:39,4/1/2020 10:18,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42473,Subscriber,1971,2
3164,4/1/2020 10:02,4/1/2020 10:54,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42292,Subscriber,1977,1
171,4/1/2020 10:04,4/1/2020 10:07,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,42229,Subscriber,1960,1
240,4/1/2020 10:06,4/1/2020 10:10,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,42367,Subscriber,1987,1
392,4/1/2020 10:09,4/1/2020 10:16,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42114,Subscriber,1976,1
4737,4/1/2020 10:47,4/1/2020 12:06,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42442,Subscriber,1953,2
4724,4/1/2020 10:47,4/1/2020 12:06,3185,City Hall,40.7177325,-74.043845,3185,City Hall,40.7177325,-74.043845,42237,Subscriber,1956,1
1271,4/1/2020 10:55,4/1/2020 11:17,3481,York St,40.71649,-74.04105,3192,Liberty Light Rail,40.7112423,-74.0557013,42301,Customer,1969,0
224,4/1/2020 10:59,4/1/2020 11:03,3185,City Hall,40.7177325,-74.043845,3639,Harborside,40.7192517,-74.034234,42586,Subscriber,1985,1
1643,4/1/2020 11:01,4/1/2020 11:28,3678,Fairmount Ave,40.72572614,-74.07195926,3267,Morris Canal,40.71241882,-74.03852552,34038,Subscriber,1970,1
424,4/1/2020 11:07,4/1/2020 11:14,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42543,Subscriber,1999,1
804,4/1/2020 11:07,4/1/2020 11:20,3191,Union St,40.7182113,-74.0836394,3195,Sip Ave,40.7308971,-74.06391263,42145,Subscriber,1977,1
1004,4/1/2020 11:07,4/1/2020 11:24,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,42131,Subscriber,1995,2
1528,4/1/2020 11:12,4/1/2020 11:38,3199,Newport Pkwy,40.7287448,-74.0321082,3677,Glenwood Ave,40.72755147,-74.07106072,42497,Subscriber,1959,1
412,4/1/2020 11:17,4/1/2020 11:23,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,42367,Subscriber,1987,1
1353,4/1/2020 11:20,4/1/2020 11:42,3192,Liberty Light Rail,40.7112423,-74.0557013,3481,York St,40.71649,-74.04105,42301,Customer,1969,0
737,4/1/2020 11:30,4/1/2020 11:42,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,42255,Subscriber,1989,1
2872,4/1/2020 11:30,4/1/2020 12:18,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42159,Subscriber,1987,1
1349,4/1/2020 11:37,4/1/2020 11:59,3677,Glenwood Ave,40.72755147,-74.07106072,3199,Newport Pkwy,40.7287448,-74.0321082,42527,Customer,1987,2
742,4/1/2020 11:41,4/1/2020 11:54,3678,Fairmount Ave,40.72572614,-74.07195926,3276,Marin Light Rail,40.71458404,-74.04281706,42205,Customer,1969,0
1795,4/1/2020 11:44,4/1/2020 12:14,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42209,Subscriber,1994,1
352,4/1/2020 11:48,4/1/2020 11:54,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42274,Subscriber,1984,1
1311,4/1/2020 11:51,4/1/2020 12:13,3203,Hamilton Park,40.72759597,-74.04424731,3678,Fairmount Ave,40.72572614,-74.07195926,42109,Subscriber,1994,2
743,4/1/2020 11:58,4/1/2020 12:10,3481,York St,40.71649,-74.04105,3275,Columbus Drive,40.7183552,-74.03891444,42117,Subscriber,1986,1
3922,4/1/2020 12:07,4/1/2020 13:12,3268,Lafayette Park,40.71346383,-74.06285852,3198,Heights Elevator,40.74871595,-74.0404433,42246,Subscriber,1971,2
775,4/1/2020 12:14,4/1/2020 12:27,3269,Brunswick & 6th,40.72601173,-74.05038893,3184,Paulus Hook,40.7141454,-74.0335519,42331,Subscriber,1977,2
